"","movieCd","movieNm","dom_or_for","nation","genre","reopen","year","month","date","openDt","salesAmt","salesPeak","salesTotal","audiCnt","audiPeak","audiTotal","showCnt","sales_per_show","audi_per_show","show_per_scrn","sales_over10b","audi_over5m"
"72","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-08,2019-02-27,201266599,2195096671,9185709011,23212,262491,1141083,1866,107859.913719185,12.4394426580922,2.9478672985782,"under",FALSE
"73","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-08,2019-02-20,173703940,1654706831,19978963414,18892,186751,2394285,1401,123985.68165596,13.4846538187009,2.53345388788427,"over",FALSE
"74","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-08,2019-02-13,142223710,1272099600,20426848871,16076,148186,2527267,1528,93078.3442408377,10.520942408377,2.70921985815603,"over",FALSE
"75","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-08,2019-01-23,124334750,1190333970,139565890466,13978,134879,16252575,950,130878.684210526,14.7136842105263,1.94274028629857,"over",TRUE
"76","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-08,2019-02-21,31678459,116226950,1179520730,3629,13111,140675,175,181019.765714286,20.7371428571429,1.88172043010753,"under",FALSE
"77","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-08,2019-01-09,23133960,93878724,3689881360,3098,10469,441993,136,170102.647058824,22.7794117647059,1.49450549450549,"under",FALSE
"78","20185350","칠곡 가시나들","국내","한국","기타","초개봉",2019,3,2019-03-08,2019-02-27,11721900,16100300,269776400,1366,2073,31472,177,66225.4237288136,7.71751412429379,1.35114503816794,"under",FALSE
"79","20196323","더 와이프","해외","영국","드라마","초개봉",2019,3,2019-03-08,2019-02-27,10284850,15554160,213073567,1271,1843,26884,66,155831.060606061,19.2575757575758,1.3469387755102,"under",FALSE
"80","20183085","질투의 역사","국내","한국","멜로/로맨스","초개봉",2019,3,2019-03-08,2019-03-14,9439000,9439000,9439000,861,861,861,5,1887800,172.2,1.25,"under",FALSE
"81","20181877","캡틴 마블","해외","미국","액션","초개봉",2019,3,2019-03-09,2019-03-06,9080401749,9080401749,51459630433,1001712,1001712,5797321,12039,754248.837029654,83.2055818589584,5.73285714285714,"over",TRUE
"82","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-09,2019-02-27,468616701,2195096671,9185709011,54780,262491,1141083,1789,261943.376746786,30.6204583566238,2.826224328594,"under",FALSE
"83","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-09,2019-02-20,351574340,1654706831,19978963414,38446,186751,2394285,1315,267356.912547529,29.2365019011407,2.34821428571429,"over",FALSE
"84","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-09,2019-02-13,316917960,1272099600,20426848871,35898,148186,2527267,1420,223181.661971831,25.2802816901408,2.55855855855856,"over",FALSE
"85","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-09,2019-01-23,258820490,1190333970,139565890466,28632,134879,16252575,974,265729.455852156,29.3963039014374,1.8623326959847,"over",TRUE
"86","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-09,2019-01-09,53903360,93878724,3689881360,7293,10469,441993,177,304538.757062147,41.2033898305085,1.46280991735537,"under",FALSE
"87","20177282","리노","해외","기타","애니메이션","초개봉",2019,3,2019-03-09,2019-03-07,53136480,66255460,128107520,6960,8459,16489,389,136597.63496144,17.892030848329,1.20807453416149,"under",FALSE
"88","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-09,2019-02-21,53628771,116226950,1179520730,5932,13111,140675,166,323064.885542169,35.7349397590361,2,"under",FALSE
"89","20195743","신데렐라:마법 반지의 비밀","해외","미국","애니메이션","초개봉",2019,3,2019-03-09,2019-02-20,33361300,208996810,2090550630,4275,26834,281705,202,165154.95049505,21.1633663366337,1.16763005780347,"under",FALSE
"90","20196323","더 와이프","해외","영국","드라마","초개봉",2019,3,2019-03-09,2019-02-27,15554160,15554160,213073567,1804,1843,26884,63,246891.428571429,28.6349206349206,1.46511627906977,"under",FALSE
"91","20181877","캡틴 마블","해외","미국","액션","초개봉",2019,3,2019-03-10,2019-03-06,7595577580,9080401749,51459630433,847394,1001712,5797321,11734,647313.58275098,72.2169763081643,5.61704164672092,"over",TRUE
"92","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-10,2019-02-27,454356170,2195096671,9185709011,52938,262491,1141083,1734,262027.779700115,30.5294117647059,2.87562189054726,"under",FALSE
"93","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-10,2019-02-13,313047340,1272099600,20426848871,35633,148186,2527267,1412,221704.915014164,25.235835694051,2.46422338568935,"over",FALSE
"94","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-10,2019-02-20,305089580,1654706831,19978963414,33408,186751,2394285,1285,237423.79766537,25.9984435797665,2.35347985347985,"over",FALSE
"95","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-10,2019-01-23,265625830,1190333970,139565890466,29335,134879,16252575,962,276118.326403326,30.493762993763,1.8974358974359,"over",TRUE
"96","20177282","리노","해외","기타","애니메이션","초개봉",2019,3,2019-03-10,2019-03-07,66255460,66255460,128107520,8459,8459,16489,383,172990.757180157,22.0861618798956,1.196875,"under",FALSE
"97","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-10,2019-01-09,45877870,93878724,3689881360,6266,10469,441993,162,283196.728395062,38.679012345679,1.42105263157895,"under",FALSE
"98","20195743","신데렐라:마법 반지의 비밀","해외","미국","애니메이션","초개봉",2019,3,2019-03-10,2019-02-20,42297810,208996810,2090550630,5253,26834,281705,198,213625.303030303,26.530303030303,1.17159763313609,"under",FALSE
"99","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-10,2019-02-21,42505380,116226950,1179520730,4662,13111,140675,166,256056.506024096,28.0843373493976,1.97619047619048,"under",FALSE
"100","20196323","더 와이프","해외","영국","드라마","초개봉",2019,3,2019-03-10,2019-02-27,14865900,15554160,213073567,1843,1843,26884,67,221879.104477612,27.5074626865672,1.39583333333333,"under",FALSE
